Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO23,Ambient+HW,Drought,65-96,65-96,1-32,77,78,25,#4d4e19,15369,1906687,0.8
2021-10-07,PIPO29,Ambient+HW,Drought,161-192,193-224,129-160,180,201,145,#b4c991,9223,1197341,0.8
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,65-96,65-96,85,86,73,#555649,9559,1197341,0.8
2021-10-07,PIPO34,Ambient+HW,Drought,161-192,161-192,129-160,172,179,144,#acb390,15696,1994597,0.8
2021-10-07,PIPO39,Ambient,Drought,161-192,129-160,97-128,171,148,113,#ab9471,7897,993086,0.8
2021-10-07,PIPO49,Ambient,Drought,65-96,65-96,1-32,74,79,26,#4a4f1a,7145,852652,0.8
2021-10-07,PIPO49,Ambient,Drought,97-128,65-96,33-64,109,83,51,#6d5333,6798,852652,0.8
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,97-128,65-96,139,117,82,#8b7552,9468,1394784,0.7
2021-10-07,PIPO23,Ambient+HW,Drought,129-160,129-160,65-96,141,142,85,#8d8e55,12814,1906687,0.7
2021-10-07,PIPO23,Ambient+HW,Drought,65-96,33-64,1-32,77,53,19,#4d3513,13358,1906687,0.7
2021-10-07,PIPO29,Ambient+HW,Drought,129-160,97-128,65-96,140,118,81,#8c7651,8406,1197341,0.7
2021-10-07,PIPO34,Ambient+HW,Drought,129-160,129-160,65-96,139,142,88,#8b8e58,14197,1994597,0.7
2021-10-07,PIPO39,Ambient,Drought,129-160,129-160,65-96,140,140,88,#8c8c58,6757,993086,0.7
2021-10-07,PIPO39,Ambient,Drought,161-192,161-192,129-160,175,174,144,#afae90,6526,993086,0.7
2021-10-07,PIPO39,Ambient,Drought,97-128,65-96,33-64,108,85,51,#6c5533,6611,993086,0.7
2021-10-07,PIPO44,Ambient,Drought,161-192,161-192,129-160,177,172,144,#b1ac90,7652,1111401,0.7
2021-10-07,PIPO45,Ambient,Drought,129-160,161-192,129-160,154,171,138,#9aab8a,8169,1154285,0.7
2021-10-07,PIPO49,Ambient,Drought,161-192,129-160,97-128,171,148,114,#ab9472,6184,852652,0.7
2021-10-07,PIPO49,Ambient,Drought,161-192,161-192,129-160,174,175,145,#aeaf91,6057,852652,0.7
2021-10-07,PIPO49,Ambient,Drought,33-64,33-64,33-64,51,54,41,#333629,6266,852652,0.7
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,129-160,33-64,108,138,57,#6c8a39,8715,1394784,0.6
2021-10-07,PIPO34,Ambient+HW,Drought,129-160,97-128,65-96,141,116,81,#8d7451,11666,1994597,0.6
2021-10-07,PIPO34,Ambient+HW,Drought,65-96,65-96,1-32,74,79,26,#4a4f1a,12848,1994597,0.6
2021-10-07,PIPO34,Ambient+HW,Drought,97-128,65-96,33-64,109,83,51,#6d5333,11845,1994597,0.6
2021-10-07,PIPO39,Ambient,Drought,129-160,161-192,97-128,147,168,115,#93a873,5957,993086,0.6
2021-10-07,PIPO44,Ambient,Drought,65-96,33-64,33-64,75,59,42,#4b3b2a,6758,1111401,0.6
2021-10-07,PIPO45,Ambient,Drought,65-96,33-64,1-32,78,52,18,#4e3412,6528,1154285,0.6
2021-10-07,PIPO45,Ambient,Drought,97-128,129-160,33-64,115,137,56,#738938,6479,1154285,0.6
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,97-128,1-32,75,107,26,#4b6b1a,6448,1394784,0.5
2021-10-07,PIPO14,Ambient,Drought,129-160,97-128,33-64,138,112,57,#8a7039,5876,1236586,0.5
2021-10-07,PIPO14,Ambient,Drought,129-160,97-128,97-128,139,123,106,#8b7b6a,5812,1236586,0.5
2021-10-07,PIPO14,Ambient,Drought,161-192,129-160,65-96,171,144,87,#ab9057,5986,1236586,0.5
2021-10-07,PIPO14,Ambient,Drought,193-224,161-192,129-160,204,181,144,#ccb590,6301,1236586,0.5
2021-10-07,PIPO23,Ambient+HW,Drought,1-32,33-64,1-32,28,56,15,#1c380f,10353,1906687,0.5
2021-10-07,PIPO23,Ambient+HW,Drought,161-192,129-160,97-128,173,149,111,#ad956f,10056,1906687,0.5
2021-10-07,PIPO29,Ambient+HW,Drought,33-64,33-64,33-64,52,54,41,#343629,5624,1197341,0.5
2021-10-07,PIPO39,Ambient,Drought,65-96,65-96,1-32,75,79,27,#4b4f1b,5216,993086,0.5
2021-10-07,PIPO44,Ambient,Drought,1-32,33-64,1-32,29,56,17,#1d3811,6103,1111401,0.5
2021-10-07,PIPO44,Ambient,Drought,65-96,33-64,1-32,76,54,23,#4c3617,6112,1111401,0.5
2021-10-07,PIPO44,Ambient,Drought,97-128,65-96,65-96,108,91,74,#6c5b4a,5825,1111401,0.5
2021-10-07,PIPO44,Ambient,Drought,97-128,97-128,33-64,110,106,58,#6e6a3a,5354,1111401,0.5
2021-10-07,PIPO45,Ambient,Drought,129-160,161-192,65-96,147,167,86,#93a756,5478,1154285,0.5
2021-10-07,PIPO49,Ambient,Drought,129-160,161-192,129-160,153,171,140,#99ab8c,4326,852652,0.5
2021-10-07,PIPO49,Ambient,Drought,129-160,161-192,97-128,148,168,114,#94a872,4659,852652,0.5
